Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Hsin-Yu Huang,National Taiwan University,2,1,43,43,0,0
Chris Moreno-Stokoe,University of Bristol,3,2,43,41,5,0
Adriana L. Iñiguez-Carrillo,Universidad de Guadalajara,5,2,43,42,0,0
Akriti Verma,"PhD Student, Deakin University",2,2,43,43,0,0
Mahnoor Jameel,University of Illinois at Urbana-Champaign,1,1,43,43,0,0
Hanhui Deng,Hunan University,4,1,43,43,1,3
Nirzaree Vadgama,Unknown affiliation,1,1,43,27,0,1
Anna Fang,"PhD Student, Carnegie Mellon University",3,2,43,32,3,0
Hiroki Kaimoto,The University of Tokyo,2,2,43,43,1,0
Yihong Wu,Zhejiang University,3,2,43,43,3,0
Yiyuan Wang,PhD Candidate in Urban Interfaces Lab at the University of Sydney,3,2,43,43,3,0
Md Hasan Shahriar Simanto,University of Rhode Island,2,2,43,39,0,0
Yaron Shlomi,IDC Herzliya,3,2,42,20,0,0
Amelia Jati Robert Jupit,"Lecturer, Universiti Malaysia Sarawak",5,1,42,26,0,0
Sheela Surisetty,Doctoral Student at Oregon State University,3,1,42,24,0,0
Abel González Mondéjar,"Computer Science PhD Student, Pontifícia Universidade Católica do Rio de Janeiro",3,1,42,35,1,0
Simon Stannus,"PhD Student, University of Tasmania",3,1,42,11,0,0
Dr. Himanshu Rajput,"Assistant Professor, Jaypee University, Anoopshahr",3,1,42,31,0,0
Armindokht Hashempour Sadeghian,Ph.D. in Management of Information Technology,3,2,42,13,0,0
Rani Prakash Gadhe,Mtech Student at Dr.Babasaheb Ambedkar Marathwada University,4,3,42,25,0,0
Jonathan Carlton,"Lead MLOps Engineer, Fuzzy Labs, & Visiting Research Fellow, University of Manchester",3,2,42,38,4,0
Natalie K. Hall,Unknown affiliation,2,1,42,36,0,0
Francesco Benzi,Unknown affiliation,3,1,42,28,1,0
Rini Ahirwar,IIM Bangalore,2,1,42,40,1,0
Riga Anggarendra,Master Research Student of Queensland University of Technology,2,1,42,39,1,0
Gabriela Molina León,PhD Candidate at University of Bremen,4,1,42,41,5,0
Luis Bautista,"Profesor Escuela de Diseño Industrial, Universidad Industrial de Santander",4,1,42,36,0,0
Zhuoni Jie,Tencent Technologies,2,1,42,42,2,0
Dariusz Parzych,Warsaw University of Technology,3,1,42,40,1,0
Mariana Seiça,"CISUC, University of Coimbra",4,1,42,42,9,0
Danilo Gallo,Naver Labs Europe,3,1,42,42,0,0
Mouna Kenoui,CDTA,4,1,42,41,0,0
Lu Sun,UC San Diego,4,1,42,41,7,0
Alexzander Lee,PhD Student Clemson University,2,1,42,42,0,0
Yoonsang Kim,Stony Brook University,3,2,42,42,4,0
Alaa Alahmadi,PhD in Computer Science,4,1,42,40,0,0
Zengrong Guo,Westlake University,4,1,42,39,2,3
Jeanne Coetzer,"Senior Lecturer in Information Technology, Central University of Technology, South Africa",4,2,42,41,0,0
Wei Zhao,"School of Computing and Information Systems, The University of Melbourne",4,2,42,42,5,0
Tao Wang,"University of California, Irvine",4,2,42,37,1,0
Palashi Vaghela,Cornell University,4,2,42,42,0,0
Mario Alberto Moreno-Rocha,University of St Andrews,3,2,42,27,0,0
Viviane Delvequio,UX Manager @ Serasa Experian,3,2,42,33,0,0
Sunyoung Bang,KAIST,4,1,42,42,0,0
Yankun Zhao,Carnegie Mellon University,3,2,42,42,1,1
Zhihan Zhang,"Paul G. Allen School of Computer Science & Engineering, University of Washington",3,2,42,42,2,0
Shreyosi Endow,University of Texas at Arlington,3,2,42,42,1,0
Elizabeth A. Ankrah,University of California Irvine,4,2,42,41,3,0
Abeer Alabbas,Technical and Vocational Training Corporation (TVTC),2,1,42,39,0,0
Pranav Kulkarni,Monash University,3,2,42,42,1,0
Rongkai Liu,University of Science and Technology of China (USTC),4,2,42,42,2,5
Yu Zhang,City University of Hong Kong,3,1,42,33,0,0
Sharif Ahamed,"Lecturer of Computer Science and Engineering Department, Gono Bishwabidyalay",3,1,42,41,0,0
Dina AlHammadi,"Associate Professor, Princess Nourah bint Abdulrahman University",4,2,42,26,0,0
Yiwen Zhang,Tongji University,4,1,42,42,0,0
FAISHAL MUFIED  AL ANSHARY,Telkom University,4,0,42,42,0,0
Ying LEI,East China Normal University,2,2,42,42,1,0
Tianhao He,Delft University of Technology (TU Delft),1,1,42,42,1,0
John F. Akers,University of Washington,4,1,42,41,2,0
Jae-Yeop Jeong,Seoul National University of Science and Technology,4,1,42,42,0,0
Shanghao Li,"Ph.D. Student, University of Illinois Chicago",2,2,42,42,0,0
Felicia Fang-Yi Tan,National University of Singapore,3,1,42,40,1,0
Khushman Patel,Google,1,1,42,15,0,0
Peerumporn Jiranantanagorn,Rajamangala University of Technology Rattanakosin,4,1,41,33,0,0
