Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Takumi Shirokura,Ph.D. student at Hokkaido University,3,2,41,10,0,0
Shrey Gupta,École de technologie supérieure (ÉTS),2,2,41,21,2,0
Mahdi Babaei,Deakin University,4,1,41,21,0,0
Linda Lim,Murdoch University,4,2,41,9,0,0
Ritwik Banerji,"Assistant Professor of Anthropology, Dept. of World Languages and Cultures, Iowa State University",3,2,41,26,0,0
David Andrew Kirkpatrick,TrustedSec,2,2,41,26,0,0
Aakanksha Mirdha,"Senior Product Designer. Previously at Cruise, Uber.",2,1,41,24,0,0
Kinga Bettina Faragó,Eötvös Loránd University,4,0,41,33,2,0
Sahar Mehrpour,"Computer Science, George Mason University",4,1,41,37,7,0
Aviv Sheriff,"Interdisciplinary Center Herzliya, Media Innovation Lab (miLAB), Cognitive Neuroscience Lab",2,1,41,36,0,0
Christopher S. Norrie,University of Dundee,4,2,41,40,3,0
Andy Harianja,Fakultas Ilmu Komputer,4,0,41,38,0,0
Leonardo Scalco,"Mestrando em Infovis, Universidade de São Paulo",4,3,41,37,0,0
Soumyajit Chakraborty,"Graduate Student of Computer Science, Vanderbilt University",3,2,41,35,5,0
Agus Sujarwadi,Universitas Teknologi Yogyakarta,4,1,41,40,0,0
Fanlu Gui,The Pennsylvania State University,3,2,41,40,2,0
Armi Behzad,Simon Fraser University | Virginia Tech I Autodesk,4,2,41,41,3,0
Daniel Kornev,Sentius,4,2,41,41,1,0
Felix Dietz,University of the Bundeswehr Munich,3,1,41,41,6,0
Aprajita Shukla,"Graduate Assistant, Boise State University",4,2,41,41,3,0
Mazen Salous,OFFIS Institute for Information Technology - Society Department,4,1,41,38,5,0
Amit Kumar Yadav,"Assistant Professor of Computer Engineering,   Delhi Skill and Entrepreneurship University (DSEU)",3,2,41,41,0,0
Noah Guzmán,California Institute of Technology,1,1,41,41,1,0
Ching-Wen Hung,National Taiwan University,2,1,41,41,0,0
Ly Hoang Hiep,The University of Tokyo,4,1,41,35,0,0
Auejin Ham,"Master's student, KAIST",4,1,41,41,0,0
Abdallah Anees AbuHashem,"Master's Student, University of Oxford",2,1,41,41,0,0
Luchen Zhao,University of Waterloo,1,1,41,41,1,0
Brook Bowers,University of Georgia,3,1,41,41,1,0
Karen Joy,Ph.D Student @ Rutgers University,4,2,41,41,6,0
Armin Bernstetter,"PhD Student, GEOMAR Helmholtz Centre for Ocean Research",2,1,41,41,2,0
Jiangnan Xu,PhD student at Niantic x RIT Geogame and Media Research Lab,3,1,41,41,1,0
Haokun Wang,University of Texas at Dallas,4,2,41,40,1,1
Derrek Chow,Unknown affiliation,3,2,41,41,0,0
Wanli Qian,University of Chicago,3,2,41,41,4,0
Tianyuan Cai,Adobe Research,3,2,41,41,1,0
