Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
John J. Heslen,Assistant Professor of Political Science,3,1,36,35,1,0
Paweł Gwiaździński,PhD,3,1,36,36,3,0
Marcel Ruoff,Karlsruhe Institute of Technology,4,1,36,35,0,1
Daichi Saito,Tokyo Institute of Technology,4,1,36,36,0,0
Joseph Aneke,"Computer Science, Hampton University Virginia",4,1,36,36,3,0
José Alberto Álvarez Martín,University of Glasgow,2,2,36,23,3,0
Olivia Figueira,"PhD Student at University of California, Irvine",3,1,36,35,2,0
Theodore Weber,Western Washington University,2,1,36,35,1,0
Jiayi Hong,Arizona State University,3,1,36,36,1,0
Madeleine Flaucher,Friedrich-Alexander-Universität Erlangen-Nürnberg,2,2,36,36,2,0
Mayra Lissette Cortez,"MS Student, University of California Irvine",1,1,36,36,0,0
Aishwarya Ramesh,"Indian Institute of Technology, Madras",1,1,36,36,0,0
Shrey Maheshwari,"M.S. in HCI/d, Indiana University Bloomington",2,2,36,36,0,0
Paola Ruffo,"Language and Translation Technology Team, Ghent University",3,3,36,32,1,0
Pontakorn Sonchan,Florida International University,3,1,36,22,3,1
Saghar Talebipour,University of Southern California,2,1,36,36,4,0
Benjamin Simon,Unknown affiliation,3,2,36,36,0,0
Yue Yanzhen,Institute of High Performance Computing,4,1,36,22,0,0
Yun Zhou,"Faculty of Education, SNNU",3,2,35,6,0,0
Jeffrey Guenther,Unknown affiliation,3,1,35,9,0,0
Gustavo Armagno,Assistant Professor,3,1,35,19,0,0
Praveen Uchil,Research Scholar,4,1,35,19,1,0
James Brown,University of Lincoln,2,1,35,24,0,0
Mohammad Hadhrawi,"Graduate Student Research Assistant, MIT Media Lab",4,1,35,15,0,0
Vinodh Rajan Sampath,Independent,3,1,35,22,1,2
Junliang Chen,Dalian Maritime University,3,1,35,0,0,0
Yazmín Magallanes,"Professor, Universidad de las Américas Puebla",3,1,35,22,0,0
Mary Jane B. Arcilla,De La Salle University,2,1,35,18,0,0
Ginar Santika Niwanputri,"Institut Teknologi Bandung, The University of Sheffield",3,0,35,35,0,1
Fatima Isiaka,Sheffield Hallam University,4,0,35,28,0,0
Eliezer Kantorowitz,Professor Computer Science,2,2,35,7,0,0
Miguel Campos,CEO @ WOW Systems,3,1,35,19,1,0
Ferdian Aditya Pratama,Universitas Katolik Indonesia Atma Jaya,4,0,35,31,0,0
Ho-Man Colman Leung,Dartmouth College,2,1,35,32,1,0
Adineh Hosseinpanah,Unknown affiliation,1,1,35,35,1,0
Madhawa Perera,The Australian National University,4,0,35,32,0,0
Brandon Victor Syiem,"School of Computer Science, Queensland University of Technology",3,1,35,34,1,0
Adnane GUETTAF,"Software Engineer, Phd in HCI",3,1,35,35,0,0
Luis Carvalho,"NorSC, Northumbria University",2,1,35,35,5,0
Sangyoon Lee,Korea Advanced Institute of Science and Technology,2,2,35,35,0,0
arti thakur,"University of California, Davis",2,1,35,35,1,0
Ashmi Banerjee,Technical University of Munich,4,2,35,35,2,0
Latifa Al-Naimi,University of Colorado Boulder,4,1,35,33,0,0
Maximilian Rettinger,Technical University of Munich,4,2,35,35,0,0
Amy Dickens,University of Nottingham,1,1,35,34,0,1
KOH SUEDA,National University of Singapore,3,1,35,19,0,1
Leah Ajmani,University of Minnesota,3,2,35,34,2,0
Carlos Plaza de Miguel,Minimally Invasive Surgery Center Jesús Usón,2,1,35,35,0,0
Lucy Jiang,"PhD Student, Computer Science, Cornell University",4,1,35,35,1,0
Oana Rotaru,Universitatea Politehnica Timisoara,3,2,35,33,0,0
Ankit Shrestha,"PhD Student, Utah State University",3,1,35,35,0,0
Stina Klein,Universität Augsburg,2,2,35,35,0,0
Ruixuan Sun,"PhD Student, University of Minnesota",4,1,35,35,4,0
Kartik Sawhney,AI scientist at Microsoft,3,3,35,31,0,0
Ayesha Khawar Butt,Student at University of Chester,1,1,35,35,0,0
Cherin Lim,"Industrial and Systems Engineering, University of Washington",4,1,35,35,0,0
Jialuo Yang,Georgia Institute of Technology,2,1,35,35,0,0
Chen-Chieh Liao,Tokyo Institute of Technology,3,1,35,35,2,4
Bryan Min,University of California San Diego,3,1,35,35,0,0
Fatima Jahara,"Senior Assessment Developer, Workera",4,1,35,35,0,0
Grace Y.S. Leung,"PhD Candidate, University of Cambridge",2,1,35,35,0,1
Duo Wang,Unknown affiliation,3,0,35,35,1,0
Heera Lee,"University of Maryland, College of Information Studies",3,1,35,35,0,0
"Montgomery Webster, Danny Rado",Unknown affiliation,3,1,34,15,0,0
Dhiren Audich,"MSc in Computer Science Candidate, University of Guelph",3,2,34,30,1,0
Boshra Talebi Haghighi,Auckland University of Technology (AUT),4,1,34,14,0,0
Gamini Perhakaran,Center of Innovative Advanced Virtual Reality,2,2,34,24,0,0
Tânia Cristina Ferreira Ribeiro,Universidade de Aveiro,4,0,34,28,3,3
Mohshi Masnad,Assistant Engineer,2,2,34,22,0,0
Evan Fakhoury,Assistant Professor of Mechanical Engineering,4,1,34,22,1,0
Dr. Mrs. Rose-Mary Owusuaa Mensah Gyening,Kwame Nkrumah University of Science and Technology,4,1,34,34,1,0
Martin Foss,"Business Consultant, Systematic A/S",1,1,34,26,0,0
Rita W. L. Yu,City University of Hong Kong,3,1,34,34,0,0
Siamak Mirzaei,University of South Australia,4,1,34,33,0,0
Cameron Shackell,Queensland University of Technology,3,1,34,31,0,0
Woojeong Kim,아주대학교,3,1,34,34,0,0
Natsuki Hamanishi,The University of Tokyo,4,0,34,32,0,0
Markus Jelonek,Ruhr University Bochum,4,0,34,32,2,1
Eiman Ahmed,"Ph.D. Candidate, Researcher, & Instructor, Rutgers University",3,1,34,33,1,0
Putu Yudia Pratiwi,Universitas Pendidikan Ganesha,2,1,34,32,0,0
Khalia M. Braswell,Temple University,3,1,34,34,0,0
Faiza Umar Bawah,"Lecturer, Department of Computer Science and Informatics,University of Energy and Natural Resources",4,0,34,34,1,2
Simran Setia,"Indian Institute of Technology, Ropar",4,0,34,34,7,0
Ashley Ge Zhang,"University of Michigan, Ann Arbor",4,2,34,34,5,0
Toshiki Onishi,"Graduate School of Integrated Basic Sciences, Nihon University",4,0,34,34,0,0
Junkun Jiang,Hong Kong Baptist University,4,1,34,34,5,0
Sven Stauden,"Student Researcher, Saarland University",3,2,34,32,2,0
Jindan Huang,Tufts University,2,1,34,34,0,1
Dominique Leite Adam,Universidade Federal do Paraná,3,0,34,27,0,0
Delyar Tabatabai,"Computer Science Graduate Research Assistant, Oregon State University",3,1,34,34,3,0
Li Qiwei,"Graduate Student, University of Michigan",2,1,34,34,0,0
Sarina Till,Independent Institute of Education / University of Cape Town,4,1,34,34,4,0
Seito Matsubara,"National Institute of Advanced Industrial Science and Technology (AIST), Human Augmentation Research",3,1,34,34,0,0
Emily Doherty,University of Colorado Boulder,4,1,34,34,4,1
Mmachi Obiorah,"Assistant Prof, University of Richmond",4,1,34,30,2,0
Chen Cao,University of Sheffield,3,2,34,34,0,0
Zhiwei Yu,Rochester Institute of Technology,2,2,34,34,0,0
Tzu-I Lee,University of Michigan,2,2,34,26,0,0
Sichen Jin,Georgia Institute of Technology,2,1,34,34,2,0
Raghavi Sakpal,"PhD Student, University of North Carolina at Charlotte",4,0,33,9,0,0
