Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Xiaotong Du,PhD candidate at Rutgers University,2,1,31,31,0,0
Samuel Silverman,"PhD Student, Computer Science, Boston University",2,1,31,31,0,0
"Sascha Donner, LL.M.","Ph.D. Candidate, Information Science, Humboldt-Universität zu Berlin",2,1,31,10,0,0
Setor Zilevu,Virginia Tech,3,2,31,31,2,0
Carla Floricel,University of Illinois Chicago,3,1,31,31,4,0
Sijia Wang,"HCI Research Associate, Carnegie Mellon University",3,2,31,31,2,0
Angela Jin,UC Berkeley,2,1,31,31,2,0
Herminio Bodon,phd student at Northwestern University,4,2,31,29,1,0
Nastaran Khaleghi,Researcher,3,1,31,31,0,0
He (Albert) Zhang,"Pennsylvania State University, Tsinghua University",3,1,31,31,1,0
Myungguen Choi,Hokkaido University,2,1,31,31,0,0
Zhe Sun,Tsinghua University,2,1,31,31,1,0
Brian Sebastian Salim,Institut Teknologi dan Bisnis Sabda Setia,3,2,31,31,0,0
Mehrad Faridan,University of Calgary,3,1,31,31,2,0
Sueyoon Lee,Centrum Wiskunde & Informatica,1,1,31,30,1,1
Lillio Mok,University of Toronto,4,0,31,30,2,0
L. Guillermo Gilberto,"Centro de Investigación y Transferencia en Acústica; CONICET-UTN, Argentina",4,0,31,25,3,0
S. Mahdi Hosseini سید مهدی حسینی,"Education Department, Faculty of Humanities and Social Sciences, University of Kurdistan",1,1,30,21,0,0
Sven Schultz,TNO,3,1,30,7,0,0
"HC,H","Phd, NCKU",3,1,30,15,0,0
Aniket Kudale,"Student of Master of Engineering, Pune University",3,2,30,19,0,0
José Antonio Tula Leyva,"Department of Computer Science, IME/USP",2,1,30,28,0,0
Marc Hermann,"Academic Staff, Faculty Electrical Engineering & Computer Science, Aalen University",3,0,30,14,0,0
Caluã de Lacerda Pataca,Rochester Institute of Technology,3,1,30,29,2,0
Mujahid Rafiq,"CEO, Logixtec",3,1,30,29,0,0
Ratanond Koonchanok,Unknown affiliation,3,1,30,30,3,0
Sayed Rizban Hussain,"Islamic University of Technology, B-Trac Solutions Ltd",3,1,30,27,0,0
William Hue,"Department of Computer Science, University of Bath",3,1,30,30,0,0
Jacqueline Wolf,University of Michigan,1,1,30,24,0,0
Mina Alipour,"Assistant Professor, University of Southern Denmark",3,1,30,29,4,2
Caca E Supriana,Universitas Pasundan,3,0,30,29,0,0
Iván Balmaceda Castro,Universidad Nacional de La Rioja | CONICET-UNSJ,4,1,30,29,0,2
Davide Bacchin,"PhD Student, University of Padova, Department of General Psychology",3,1,30,30,3,1
Alyssa Donawa,University of Southern California,1,1,30,30,0,0
Yushi Sato,Osaka University,3,1,30,30,0,0
Billy Dixon,University of Edinburgh,3,1,30,27,1,3
XIN LIU（刘馨）,National University of Singapore,3,1,30,28,1,1
Abeda Sultana,Ph.D. Student,2,1,30,30,2,0
Farhat Embarak,"University of Ajdabiya, Libya and Universiti Teknologi Malaysia (UTM)",3,1,30,30,0,0
Florian Herber,Technische Universität München,1,1,30,30,0,0
Xin Sun,University of Amsterdam,2,1,30,30,0,0
Tongyu Zhou,Brown University,2,2,30,30,4,1
Kenneth Boyenah Nimley,Drexel University,3,2,30,19,1,0
Zhitong Cui,Zhejiang University,3,0,30,30,0,5
Vanessa Palumbo,CNR,3,1,30,30,0,0
Kana Miyamoto,Nara Institute of Science and Technology,4,0,30,30,4,0
Nava Haghighi,Stanford University,3,1,30,29,0,0
Shakra Mehak,"Early Stage Researcher, Pilz Ireland, Technological University Dublin, Ireland",2,1,30,30,4,1
Xuanming Zhang,Columbia University,3,1,30,30,2,0
PAWAN WAWAGE,Professor,3,1,30,28,0,0
Seungjong Sun,Sungkyunkwan University,3,0,30,30,0,0
Brinda Mehra,"Graduate Student, University of Michigan",3,1,30,30,2,0
Rock Yuren Pang,University of Washington,3,1,30,30,1,0
Rushikesh Veni,Software Engineer II,2,1,29,12,0,0
Fiona Collard,"PhD Researcher, University of Nottingham",1,1,29,1,0,0
Yu Yan,"PhD, IRCCyN, Ecole Centrale de Nantes",3,2,29,6,0,0
Pawitra Chiravirakul Liamruk,"Faculty of ICT, Mahidol University",3,1,29,22,0,0
Sonja Gilliland,Lecturer in Information Technology,2,1,29,19,0,0
S. M. Ashik Eftakhar,Nikon Corporation,3,0,29,0,0,0
Ozan Can Altıok,"Koç University, Faculty of Engineering",2,2,29,14,2,0
Tanmoy Goswami,"Senior User Experience Designer, Principal Global Services Pvt. Ltd.",2,2,29,27,0,0
SONU JOSE,"University of Nevada, Reno",3,1,29,26,0,2
Pratik Agarwal,"Master's candidate, Penn State",2,1,29,27,1,0
Aijaz Ahmed Kalhoro,Shah Abdul Latif University Khairpur,3,1,29,24,0,0
Joey Chakraborty,"Master of Applied Science Candidate, Human Factors and Applied Statistics Lab, University of Toronto",2,1,29,28,0,0
In-geon Shin,"Industrial Design, KAIST",2,1,29,26,0,0
Dev Raj Lamichhane,"PhD Researcher, University of Central Lancashire",2,1,29,25,0,1
Rakhma Shafrida Kurnia,"Lecturer, Amikom University",4,0,29,27,0,0
Maarten Edwards,"Graduate Assistant, Florida Institute of Technology",3,1,29,29,0,0
Svetlana Ognjanovic,ETH Zurich,3,1,29,25,1,0
Ethan Hardacre,"Student, Pomona College",1,1,29,29,0,0
Jarrek Holmes,"Student, Carnegie Mellon University",3,1,29,23,0,0
Florine Simon,"PhD Candidate, ENAC, Toulouse",3,1,29,29,1,0
Olga Loboda,University College London,3,1,29,26,1,0
Xiaoyi Wang,University of Copenhagen,3,2,29,29,3,1
Ramsay Meiklem,"PhD Student, University of Strathclyde",3,1,29,29,1,0
Noor Hammad,Carnegie Mellon University,3,0,29,26,4,1
Subin Park,Kyung Hee University undergraduate students,3,1,29,29,0,0
Li Yu,Meta Reality Labs,2,1,29,21,0,0
Kyeongjin Park,KPC,2,1,29,28,0,0
Balaram Panda,University of Auckland,3,1,29,29,0,0
WU Jinchun,National University of Singapore; Southeast University,3,1,29,29,5,1
Katya Kudashkina,"Tech entrepreneur, M.B.A., Ph.D. (reinforcement learning), 13+ years of business & building Ai-based",2,1,29,29,0,1
Rahad Arman Nabid,"Computer and Information Science Department, Temple University, USA",3,1,29,29,0,0
Ján Čegiň,"PhD student, Kempelen Institute of Intelligent Technologies",2,2,29,29,0,0
Nibraas Khan,"Computer Science PhD Student, Vanderbilt University",4,0,29,29,1,1
Peya Mowar,Carnegie Mellon University,3,1,29,29,0,0
Yi (Owen) Wang,"School of Information Technology, Deakin University",4,0,29,29,0,0
Tim Kollmer,"Research Associate, University of Innsbruck",3,0,29,29,0,0
Georgia Kenderova,University of Washington,3,2,29,29,3,0
Daniel Strazzulla Ortega,Meta Research,3,1,29,7,0,0
Reshma Radhakrishnan,Assistant Professor,3,0,29,29,0,0
Marc Lieser,"PhD Candidate, RheinMain University of Applied Sciences, Wiesbaden",3,1,29,28,0,0
Samuel So,University of Washington,3,2,29,29,3,0
Robert Bowman,PhD Candidate,3,1,29,29,6,1
Moneeb Ahmed,National Textile University,2,1,29,28,0,0
Aimen Gaba,"Manning College of Information and Computer Sciences, University of Massachusetts Amherst",4,1,29,28,1,0
Mario O. Parra,"PhD student, CICESE",4,1,29,28,0,0
Ahmed F. S. Abulehia,PhD student Universiti Utara Malaysia,2,1,29,29,0,0
Shaolun Ruan,Singapore Management University,3,1,29,29,2,0
