Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Philipp Brauner,"Postdoc, RWTH Aachen University",20,39,1460,1015,41,15
Mehmet Gokturk,Gebze Institute of Technology (Gebze Technical University),15,20,1459,543,2,0
Tommy Dang,Texas Tech University,21,33,1459,1179,17,2
Christos Mousas,"Associate Professor of Computer Graphics Technology, Polytechnic Institute, Purdue University",20,42,1458,1309,7,0
"Randi Williams, Ph.D.",Algorithmic Justice League (formerly MIT Media Lab),14,16,1456,1419,8,1
Nobuchika Sakata,Ryukoku University,16,28,1455,545,0,0
Lilly Spirkovska,"Computer Scientist, NASA Ames Research Center",17,26,1455,301,14,1
Alex Wilkie,"Professor of Design and Societies. Goldsmiths, University of London",16,21,1454,855,8,0
Senthil Chandrasegaran,"Assistant Professor, TU Delft",14,22,1454,848,17,0
Wiktoria Wilkowska,"RWTH Aachen University, HCI Center, Chair of Communication Science",19,29,1454,663,16,9
Caci Barbara,"Dipartimento di Scienze Psicologiche, Pedagogiche, dell'Esercizio Fisico e della Formazione",18,27,1453,772,2,0
