Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Frank Wencheng Liu,Arizona State University,4,3,66,66,6,0
Shivani Shirolkar,NC State University,3,2,66,66,2,0
Kylie Davidson,Virginia Tech,5,2,66,66,4,1
Hassan Hussein,"Data Science and Digital Libraries group at TIB- at Leibniz University, Hannover",3,2,66,66,2,0
Alexander Ivanov,University of Calgary,4,3,66,64,2,1
Bo-Yu Chen,National Taiwan University,5,4,66,66,0,0
khadijeh mahdikhanlou,PhD,3,2,66,53,0,0
Ziru Chen,The Ohio State University,3,1,66,66,0,0
Claudia Negri-Ribalta,Université Paris 1 Panthéon-Sorbonne,5,2,66,66,4,0
Yifan Song,University of Illinois Urbana-Champaign,2,1,66,66,0,0
Yi Zhe Ang,Visual & Data Journalist,1,1,66,66,0,0
Fraser McKay,Unknown affiliation,3,2,65,30,0,0
Jessica Tsimeris,Australian National University,5,2,65,25,0,0
Setareh Aghel Manesh,University of Calgary,3,2,65,37,0,0
Sahba Zojaji,PhD fellow at KTH Royal Institute of Technology,5,2,65,63,5,0
Sadia Rubab,"Lecturer Computer Science, COMSATS Institute of Information Technology",3,1,65,35,0,0
Thomas Constant,"CNAM, Cédric",3,2,65,61,0,0
João de Sousa e Silva,"PhD, Universidade de Trás-os-Montes; Researcher @ INESC-TEC",5,3,65,47,4,1
Adama Victor,Lecturer I (FUT Minna),4,3,65,49,0,0
Luis Ferreira,"NOVA LINCS, Universidade da Madeira",5,2,65,60,11,0
Akihisa Shitara,"Graduate School of Library, Information and Media Studies, University of Tsukuba",5,1,65,58,2,0
Takafumi HIGASHI,東京電機大学,5,1,65,49,0,0
Robert P Gauthier,University of Waterloo,3,3,65,64,4,0
Valerio Colonnese,"Assegnista Ricercatore, ICAR CNR di Napoli",3,3,65,59,0,0
Mehrdad Bahrini,"Digital Media Lab, University of Bremen",5,3,65,65,4,1
Myke C. Cohen,Arizona State University,5,1,65,65,5,1
Ayaka Ishii,Ochanomizu University,5,1,65,65,0,0
Sam Van Damme,"PhD Researcher @ IDLab, Ghent University/imec, eMedia Research Lab, KU Leuven & FWO",5,2,65,65,8,0
Diogo Branco,"NeuroRehabLab, ARDITI, Madeira N-LINCS",5,3,65,65,6,2
Zhenning Zhang,Nanjing University of Science and Technology,3,2,65,65,2,0
Ava Bartolome,University of Minnesota,4,3,65,65,0,0
