Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Johann Wentzel,University of Waterloo,3,2,68,65,1,0
Michelle Kaczmarek,University of British Columbia,4,3,68,57,1,0
Wint Yee Hnin,Washington University in St. Louis,4,2,68,55,3,0
Adrian Ramcharitar,Carleton University,2,2,68,58,0,0
Diogenis Alexandrakis,PhD,4,1,68,68,0,0
Mintra Ruensuk,Ulsan National Institute of Science and Technology,4,3,68,64,0,0
Tareq Al-Zu'bi,"Al-Balqa Applied University ,Department of Computer Science",3,3,68,68,0,0
Brita Munsinger,Trinity University,4,4,68,45,1,1
Raju Maharjan,University of Oklahoma,6,4,68,67,4,0
Chanho Park,The University of Tokyo,6,4,68,65,0,0
Viktorija Paneva,University of the Bundeswehr Munich,4,4,68,68,5,0
Yeliz Yücel,Galatasaray University,2,1,68,68,0,0
Leonardo Marques,"PhD Student, Federal University of Amazonas",4,2,68,66,0,0
Hannah Twigg-Smith,"PhD Candidate in Human Centered Design and Engineering, University of Washington",3,2,68,68,3,0
Guoyang Zhou (周国阳),Purdue University,5,2,68,67,2,3
HASSAN ADAMU,"Department of Computer Science, Binyaminu Usman Polytechnic Hadejia",5,1,68,66,0,0
Boyin Yang,"PhD Student, University of Cambridge",2,2,68,67,2,0
G S Rajshekar Reddy,"University of Colorado, Boulder",6,2,68,68,1,0
Joanne Lo,Carnegie Mellon University,2,2,68,67,1,0
Zhou Xingchen,Beijing Normal University,4,2,68,68,0,1
RUDI HARTONO,Universitas Perjuangan Tasikmalaya,6,2,68,68,0,0
Hongwei Niu,Beijing Institute of Technology,4,2,68,63,2,3
Hervé St-Louis,Université du Québec à Chicoutimi,4,1,68,63,0,0
Alexander Achberger,Mercedes-Benz AG,4,2,68,64,3,4
Meiyan Xu,"Lecturer, School of computer science, Minnan Normal University",3,1,68,66,3,0
Alex Leitch,"Lecturer, UMD-CP",4,3,68,58,1,0
Yue Zhao,Shandong University,2,2,68,68,2,0
Pavan Kumar,Google,2,2,67,62,0,0
Francesco Epifania,Università degli Studi di Milano,4,1,67,23,3,0
"Javier Quevedo Fernández, PhD",Eindhoven University of Technology,5,2,67,18,0,0
Zhe Liu,"PhD's Candidate, University of British Columbia",4,3,67,34,0,1
TAN Liang,Guangzhou Academy of Fine Arts,5,2,67,38,0,0
Franci Suni-Lopez,Universidad de Lima,3,2,67,60,11,0
Paula M. Kammler,DFKI,2,1,67,43,0,0
Andrei Garcia,"Master Degree Student at PUCRS, Faculdade de Informatica Porto Alegre, Brazil",3,2,67,57,0,0
Jürgen Hahn,"Media Informatics Group, University of Regensburg",2,2,67,54,0,0
Minghao Cai,University of Alberta,4,4,67,61,1,1
Panayu Keelawat,UC San Diego,3,3,67,67,1,0
Nels Numan,University College London,5,3,67,67,7,0
Atsuki Ikeda,Tokyo Institute of Technology,4,4,67,67,0,0
Zipeng Liu,Beihang University,5,3,67,59,5,2
Jana Franceska Funke,Universität Ulm,1,1,67,67,1,0
Nayana Carneiro,Universidade Federal do Ceará,5,2,67,63,0,0
Nour Halabi,Ontario Tech University,3,2,67,67,3,1
Junyu LIU,"Computer Science, Brown University",6,3,67,67,1,0
Ko Watanabe,DFKI GmbH & RPTU Kaiserslautern-Landau,5,2,67,65,9,0
Bill Guo,"Human Computer Interaction Institution, Carnegie Mellon University",4,3,67,67,4,0
Hao Quan,"Northeastern University & Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",3,2,67,67,0,0
Ts. Dr. Nurulisma Ismail,"Senior Lecturer, Universiti Malaysia Perlis",4,2,66,47,0,0
Weaam ALRashed,"Teaching Assistant at Software Engineering Department, King Saud University",3,3,66,52,0,0
Jiajun (Robin) Wei,Intuitive Surgical (da Vinci Surgical System),4,2,66,57,5,1
An-Che Chen,Ming Chi University of Technology,4,3,66,19,0,0
Haiyue Yuan,"Research Associate, Institute of Cyber Security for Society, University of Kent",4,2,66,50,10,0
Zainab Hameed Alfayez,Lecturer in information technology university of Basrah,4,2,66,66,0,0
Xinyu Yang,Beijing University of Posts and Telecommunications,3,1,66,59,4,1
Marius Braun,"City, University of London",5,3,66,32,0,0
Suraj Sood,LB Tutoring Academy,5,1,66,57,0,0
Farnaz Irannejad Bisafar,Northeastern University,5,5,66,59,2,0
Eliana Alves Moreira,Federal Institute of São Paulo,6,1,66,57,1,0
Damon Crockett,Yale University,3,2,66,47,0,0
Daniel Arthur,University of Sussex,2,2,66,61,2,0
Ai Nakajima,CSC - TIETEEN TIETOTEKNIIKAN KESKUS OY,5,2,66,34,0,0
Marcelo Glasberg,Unknown affiliation,2,1,66,28,0,0
Sinarring Azi Laga,"Informatika, Universitas Hayam Wuruk Perbanas",5,2,66,66,0,0
Aleksandr Shirokov,Rutgers University,5,1,66,57,0,0
J. Trevor D'Arcey,"University of California, Santa Cruz",5,4,66,53,2,0
Jason Brier,Purdue University,2,2,66,64,2,0
Shohei Katakura,Hasso Plattner Institut,5,3,66,66,0,0
Junhan Kong,University of Washington,4,3,66,66,3,0
