Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Ahmed Altaher,GRA/GTA/PhD Candidate,4,1,48,48,1,0
Tessa Eagle,"University of California, Santa Cruz",4,2,48,48,0,0
Amir Hossein Kargaran,"PhD Student, University of Munich",3,1,48,48,1,0
Saiful Islam Salim,"Ph.D. Student, Department of CS, University of Arizona",4,1,48,48,1,0
Myeonghan Ryu,Georgia Institute of Technology,4,1,48,48,1,0
Fabrício Pretto,University of Vale do Taquari - Univates,4,1,48,30,0,0
Angela Mastrianni,"PhD Candidate, Drexel University",4,2,48,48,8,1
Asma Aldrees,"Assistant Professor of Computer Science, King Khalid University",4,1,48,45,0,0
Meen Jong Kim,"Department of Industrial Engineering, Yonsei University",3,1,48,42,0,0
Isha Chaturvedi,"Machine Learning Scientist, AI Foundations (LLM), Capital One",2,1,48,48,1,0
Felix Giroux,"PhD student in Information System, HEC Montréal",3,2,48,48,6,0
Po-Yao (Cosmos) Wang,National Taiwan University,3,1,48,48,0,0
"Yongquan ""Owen"" Hu","University of New South Wales (UNSW), Sydney",5,2,48,48,5,0
Syahrul Alam Suriazdin,"Faculty of Computer Science, Universitas Indonesia",3,2,48,48,0,0
Kyzyl Monteiro,"PhD student, Carnegie Mellon University",3,2,48,48,2,0
Zerong Xie,The University of Hong Kong,2,2,48,48,0,0
Tiffany T Chen,Massachusetts Institute of Technology,3,2,48,45,2,0
Francesca Alloatti,"PhD in Computer Science, University of Turin",3,2,48,48,3,1
Kazuo Isoda,大日本印刷株式会社　主席研究員,4,2,48,26,1,0
Han-Shin Chen,University of Toronto,1,1,48,48,0,0
Philipp Baumann-Sury,EPAM,4,1,47,18,0,0
Jasper Jeurens,HAN University of Applied Sciences,4,1,47,28,0,0
Élton Carneiro Marinho,Federal University of Rio de Janeiro,5,1,47,34,0,0
Elizabete Munzlinger,Unknown affiliation,2,1,47,30,0,0
Pierre-Alexandre Broux,Unknown affiliation,3,2,47,39,0,0
Ida (Bodin) Löscher,"PhD student, Uppsala University",4,2,47,20,1,0
Taylor Murphy,Ohio State University,5,1,47,33,1,0
Julian Petford,The University of St Andrews,3,2,47,43,2,0
Samuel Navas Medrano,"Senior Researcher, Instituto Tecnológico de Informática",4,2,47,43,4,0
Kenneth Friedman,Massachusetts Institute of Technology,2,1,47,42,2,0
Subrata Tikadar,"Assistant Professor - Research & Innovation, Amity University Kolkata",4,2,47,45,0,0
Hazwani Nordin,"Student, Universiti Kebangsaan Malaysia",5,2,47,37,0,0
Rosiana Natalie,"PhD Candidate, Singapore Management University",4,2,47,46,4,0
Ashwin Ram,"Postdoctoral Fellow, National University of Singapore",5,2,47,47,2,0
Alfred Speredelozzi,University of Rhode Island,2,1,47,5,0,0
Tushar Gupta,MS HCI at Georgia Tech,4,2,47,47,0,0
Morteza Malekmakan,Simon Fraser University,3,1,47,47,0,0
Helena Tendedez,Lancaster University,3,2,47,46,3,0
Christian Murlowski,Saarland University - Digital Transformation and Information Systems,4,2,47,46,1,1
