Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Won Kim,Gwangju Institute of Science and Technology,5,2,47,47,0,0
Marla Narazani,"Faculty of Computer Science, Technical University of Munich",4,2,47,47,2,0
Mahdokht Michelle Afravi,University of Texas at El Paso,4,0,47,45,9,0
Molly Mackinlay,"IPFS Project Lead, Protocol Labs",2,1,47,12,0,0
Unisse Chua,"Assistant Professor, De La Salle University",3,1,47,46,0,0
Minfan Zhang,University of Toronto,2,1,47,47,0,0
Mohsen Parisay,"PhD Graduate, Concordia University",3,2,47,47,4,0
Anne Seo-young Lee,Cornell University,4,1,47,47,1,0
Alice Torjussen,"PhD Student, University of Sussex",4,2,47,47,0,0
Mehrab Zaman Chowdhury,Graduate Research Fellow at University of Alabama at Birmingham,4,2,47,46,0,0
Sarah Brown,University of Florida,4,1,47,47,6,1
Theresa Mai,Oregon State University,3,2,47,47,2,0
Dr. Lakshmi Harika Palivela,"Assistant Professor Sr ,SCOPE, VIT Chennai",4,1,47,47,0,0
Angela Zavaleta Bernuy,University of Toronto,4,1,47,47,2,2
Katie Berns,Postdoctoral Researcher at Aalto University,4,2,47,47,1,0
Qiangqiang Liu,Tencent,4,2,47,44,2,0
Arielle Grinberg,"PhD Candidate, University of Waterloo",1,1,47,47,1,0
Cella M Sum,Carnegie Mellon University,2,2,47,47,0,0
Hao He,Swinburne University of Technology,3,2,47,42,1,0
Alisa Ananjeva,Copenhagen Business School,3,1,47,47,0,0
Hwayeon Joh,Ewha Womans University,3,2,47,47,0,0
Hassan Hayat,Universitat Oberta de Catalunya,3,1,47,45,3,2
Yuichi MAKI,NTT Human Informatics Laboratories,4,1,47,19,0,0
Ivan Rodriguez-Conde,"Assistant Professor, Computer Science, University of Arkansas at Little Rock",4,2,47,46,5,0
Matthew Peachey,PhD Student at Dalhousie University,3,2,47,47,1,2
Achyut Tiwari,Engineering at TATA Consultancy Services,1,1,47,47,0,0
Or Fleisher,New York University,3,1,47,46,0,0
Sercan Sari,"Department of Computer Engineering, Yeditepe University",3,2,47,47,3,0
Aryan Chugh,Computer Science Student,1,1,47,47,0,0
Nur Saadah Fathil,"Lecturer, Universiti Pendidikan Sultan Idris",4,2,47,38,0,0
Shreyasha Paudel,"PhD Student, University of Toronto",2,1,47,44,0,0
Eunyong Cheon,UNIST,4,3,47,47,0,0
Pallavi Rao Gadahad,"IDC School of Design, IIT Bombay",5,1,46,31,0,0
Susan Zhuang,University College London,2,2,46,30,1,0
Nursakirah Ab Rahman Muton,Universiti Sains Malaysia,4,1,46,34,0,1
Martin Petzold,University of Cologne,4,1,46,4,0,1
Tim Cederman-Haysom,"PhD, University of Queensland",3,2,46,9,0,0
Hyunjin Ahn,Seoul National University,4,2,46,29,0,0
Yuan-Yi Fan,"Media Arts and Technology, University of California Santa Barbara",4,2,46,17,0,0
Ferdinand Eisenkeil,University of Konstanz,4,1,46,18,1,0
Nai-Ching Wang,Virginia Tech,4,2,46,30,0,0
Yasushi Akiyama,Saint Mary's University,5,1,46,26,2,0
Somang Nam,"Industrial Engineering, University of Toronto",4,1,46,40,6,0
Adel Al-Dawood,"University of Minnesota, Imam Mohammad Ibn Saud Islamic University",3,1,46,43,0,0
Wendy M Xu,Oregon State University,3,1,46,21,0,0
Muhammad Riza Alifi,Politeknik Negeri Bandung,4,1,46,41,0,0
Khamid,Wahidiyah University,4,2,46,44,0,0
Mustafa M. Barakat,IT,4,1,46,46,1,0
Shimmila Bhowmick,"PhD student, Embedded Interaction Lab, IIT Guwahati, India",3,1,46,46,0,0
Aristides Mairena,University of Saskatchewan,4,2,46,46,4,1
Linda D. Nguyen,Arizona State University,3,1,46,45,1,0
Eric Spero,Carleton University,4,1,46,46,2,1
Zaid Al-Lami,"Assistant professor of computer information systems, Al-Balqa Applied University",4,2,46,40,1,1
Madhan Kumar Vasudevan,Postdoctoral Research Fellow,4,2,46,46,3,0
Menna Elshahawy,German University in Cairo,3,3,46,46,0,0
Tim Düwel,"German Research Center for Artificial Intelligence (DFKI), Saarland Informatics Campus",3,2,46,46,3,0
Kerry Yu Fang,Western Sydney University,4,1,46,37,0,0
Flannery Currin,University of Iowa,4,2,46,46,6,0
Anmol S  Khandeparkar,Student @ The University of Texas at Austin,1,1,46,30,0,0
Francisco Zamorano,Universidad del Desarrollo,4,1,46,36,0,0
Suvil Chomchaiya,"Lecturer, Department of Mathematics, Faculty of Science, King Mongkut's University of Technology Thonburi",2,1,46,36,0,0
