Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Johanne R. Trippas,"Vice-Chancellor's Research Fellow, School of Computing Technologies, RMIT University",17,21,1096,1035,19,0
Alisha Pradhan,New Jersey Institute of Technology,12,14,1096,1059,14,0
Sungsoo Ray Hong,"Assistant Professor, George Mason University",19,24,1093,917,9,0
Philipp Heim,"Chief UX Designer CAD/CAM Software, TRUMPF group",13,15,1093,221,0,0
Pasi Välkkynen,Vincit,14,20,1092,317,2,0
Dena Al-Thani,"Associate Professor, Hamad bin Khalifa University",17,35,1092,1064,3,0
Zhijiao Du,Sun Yat-Sen University,13,15,1090,1024,5,15
Varun Kasireddy,"Researcher, Robotics Institute, Carnegie Mellon University",8,8,1089,895,2,4
Luis A. Pineda,"Departamento de Ciencias de la Computación, IIMAS, Universidad Nacional Autónoma de México",17,34,1089,314,1,0
Patrick Reuter,"Centre Inria de l'université de Bordeaux, LaBRI, University of Bordeaux",18,24,1088,259,0,0
Anusha Withana,University of Sydney,16,22,1088,670,13,2
Marzieh Ahmadzadeh,York University,13,17,1087,799,0,0
Ersin Dincelli,Assistant Professor of Information Systems | University of Colorado Denver,11,12,1085,988,0,0
Lucas Silva Figueiredo,Voxar Labs - Informatics Center - Federal University of Pernambuco,14,21,1085,646,0,0
James Nicholson,"Associate Professor, Northumbria University",18,23,1083,641,19,0
Joshua Hailpern,Neo.Tax,17,24,1083,411,2,0
Martin Weigel,Technische Hochschule Mittelhessen (THM),10,12,1083,776,8,0
Simon Breslav,Trax,16,25,1083,497,9,1
Na Wang,"Ph.D., AWS",14,15,1081,622,1,0
Osnat Mokryn,University of Haifa,16,21,1080,418,1,0
Elina Vartiainen,ABB Robotics,18,24,1080,494,1,0
Evan Metsky,"Human-Computer Interaction, Carnegie Mellon University",2,1,1080,890,0,0
Jeremiah Scholl,Co-founder and CPO at AESOP Technology,19,25,1079,282,0,0
Marcin Skowron,Research Scientist | Austrian Research Institute for AI | Johannes Kepler University,16,26,1079,469,13,0
"Seungyon ""Claire"" Lee","Interaction Researcher, Google",13,19,1078,347,0,0
Jeffrey M Rzeszotarski,"School of Information Science, Cornell University",16,20,1075,594,6,0
Matthew Guy,"Consultant Clinical Scientist, Medical Physics",18,29,1075,342,10,1
Benjamin Tag,"Faculty of Information Technology, Monash University",16,30,1075,996,18,5
Chung Hyuk Park,George Washington University,19,38,1074,863,25,10
Ernestasia Siahaan,Google,13,14,1073,923,0,2
Mona Masood,"Centre for Instructional Technology and Multimedia, Universiti Sains Malaysia",16,25,1072,711,0,0
Pedro C. Santana-Mancilla,Universidad de Colima,15,21,1070,761,3,0
Nayat Sanchez-Pi,Director of the Inria Research Center in Chile/ CEO of Inria Chile,15,26,1070,621,17,2
Anirudha Joshi,IIT Bombay,15,30,1069,497,5,1
Chyng-Yang Jang,"Associate Professor of Communication, University of Texas at Arlington",11,11,1067,135,0,0
Elina Eriksson,"PhD, Associate Professor, KTH - Royal Institute of Technology",19,31,1066,767,2,0
Dominik Weber,Google / University of Stuttgart,15,20,1066,665,26,4
