Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Ioannis Politis,Senior User Experience Researcher at MathWorks,16,22,1143,849,11,7
nasser sherkat,Professor of Human Machine Interaction,17,36,1141,281,0,0
Youngwoo Yoon,ETRI,16,23,1141,938,7,0
Dhruv Jain,Assistant Professor at University of Michigan,19,26,1141,999,12,0
Henning Pohl,Aalborg University,18,24,1140,752,11,0
Huaishu Peng,"Assistant Professor, Computer Science, University of Maryland, College Park",13,15,1140,844,11,1
Daniel Cernea,"University of Kaiserslautern, Germany & Linnaeus University, Sweden",14,18,1139,485,4,3
Uran Oh,Ewha Womans University,18,26,1139,784,4,0
Ricarose Roque,University of Colorado Boulder,16,29,1138,764,1,2
Samrat Kumar Dey,"Lecturer (Computer Science), School of Science and Technology (SST), Bangladesh Open University.",16,19,1138,1129,1,0
Hung-Hsuan Huang,"Faculty of Informatics, The University of Fukuchiyama",17,32,1138,515,4,0
Oliver Schneider,"Associate Professor, University of Waterloo",21,31,1137,872,20,3
Manuela Chessa,University of Genoa,20,32,1136,701,6,2
Emanuela Maggioni,"Postdoctoral Research Fellow, UCLIC, University College London",20,26,1136,1070,25,1
Kristiina Karvonen,"Post-doctoral researcher, Helsinki Institute for Information Technology HIIT, Aalto University",12,12,1135,216,0,0
Craig S. Miller,DePaul University,17,28,1134,310,0,0
Dr. Lijuan Marissa Zhou,"Senior Researcher in Computer Science, Dublin City University",13,17,1131,368,12,12
Juan Martínez-Miranda,Centro de Investigación Científica y de Educación Superior de Ensenada - CICESE-UT3,18,26,1130,686,2,0
Rachel F. Adler,University of Illinois Urbana-Champaign,13,15,1130,730,7,0
"Heidy Maldonado, PhD","Stanford University, Tangible Play",17,22,1130,249,0,0
Leif P. Berg,Iowa State University,8,7,1130,945,2,0
Tomás Vega Gálvez,Augmental,12,12,1130,1085,2,0
Ibrar Hussain,"Professor / Dean, Faculty of Information Technology, The University of Lahore",12,15,1129,730,1,5
Jonas Schild,"TH Köln, Germany",17,22,1129,584,6,13
Cristian Bernareggi,Università degli Studi di Milano,18,32,1127,673,1,0
José Antonio Macías Iglesias,Universidad Autónoma de Madrid,20,30,1125,458,9,12
Jonathan Bragg,Allen Institute for AI (AI2),17,23,1125,879,15,0
Brent Milne,"VP of Product R&D, Saga Education",18,36,1125,360,4,0
Matthias Peissner,"Fraunhofer-Institut fur Arbeitswirtschaft und Organisation, Stuttgart, Germany ",18,36,1124,555,4,3
Theophanis Tsandilas,"Inria, Université Paris-Saclay",18,26,1124,575,8,1
Leonardo Cunha de Miranda,"Associate Professor of Computer Science and Software Engineering, UFRN, Brazil",18,31,1123,501,0,1
Peggy Chi,"Staff Research Scientist & Manager, Google Research",18,22,1121,538,0,0
Julie Wagner,Fujitsu enabling software technology,10,11,1121,298,0,0
Sunu Wibirama,"Doctor of Engineering (Dr. Eng), Associate Professor at Universitas Gadjah Mada, Indonesia",19,40,1120,895,1,0
Pablo Haya,IIC - Universidad Autonoma de Madrid,17,34,1120,353,12,12
Moumena Chaqfeh,Lecturer of Computer Science,14,20,1120,678,2,0
Erik H. Trainer,Pratt Institute,16,20,1120,458,5,0
Mike Schaekermann,"Computer Science PhD, Eng BSc, Medicine State Exam I",16,20,1118,1103,10,1
"Diego Alonso Gómez Aguilar, PhD.",Unknown affiliation,14,18,1117,370,11,0
Steven Baker,Griffith University,18,27,1116,1052,14,1
Alberto L Morán,"Lecturer-Researcher, Facultad de Ciencias, UABC",19,37,1114,421,4,1
Dave B Miller,Tufts University,16,19,1114,857,3,0
Mingming Fan,"Assistant Professor, Hong Kong University of Science and Technology (Guangzhou)",20,35,1111,965,22,0
Scott M Gilliland,"Research Scientist, IMTC, Georgia Institute of Technology",17,19,1110,647,4,1
Željko Obrenović,Software Improvement Group (SIG),17,25,1110,187,0,0
Megan (MK) Strait,University of Texas - Rio Grande Valley,17,22,1109,663,3,1
Peggy Wu,"Principal Research Scientist, Raytheon",14,19,1108,365,15,2
Henrique Galvan Debarba,Aalborg University,17,22,1107,921,8,0
Ioannis Mademlis,Harokopio University of Athens,19,34,1107,1036,49,3
Sven Gehring,Deutsche Hochschule für Prävention und Gesundheitsmanagement,18,28,1106,405,6,0
Jarrod Knibbe,The University of Queensland,20,31,1106,917,19,1
Steven Pace,"Associate Professor, Central Queensland University",8,8,1105,304,0,0
Xuan Zhou,"Consumer BG, Huawei Technologies",13,13,1105,588,9,0
Cole Gleason,Research Scientist | Apple AI/ML,15,15,1105,960,8,0
Beste Filiz Yuksel,University of San Francisco,16,19,1104,624,4,1
Ali Asghar Nazari Shirehjini,Senior research scientist,18,22,1103,467,1,0
Sanaz Fallahkhair,"PhD. Principal Lecturer  in Human Computer Interaction, University of Brighton",16,22,1102,456,1,0
Jean-Paul IMBERT,ENAC,14,18,1101,835,15,2
John Edison Muñoz,University of Waterloo,20,34,1100,837,20,2
Emily I M Collins,Cardiff University,16,19,1099,769,6,2
Markus Wirth,"Machine Learning and Data Analytics Lab, Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU)",15,18,1099,1015,16,5
Tamara Peyton,Columbus College of Art and Design,13,16,1096,703,6,1
David Lamas,"Professor of Human-Computer Interaction, Tallinn University",17,30,1096,744,8,2
