Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Felix Tener,"PhD Researcher & Lecturer, University of Haifa",2,1,29,29,0,0
Devata Anekar,"Research Scholar-Vishwakarma University, Pune, Assistant Professor-Sinhgad Academy of Engineering",3,0,29,15,0,0
Yang Yue,"University of California, Irvine",3,1,29,29,1,1
Blake Sawyer,Virginia Tech,3,1,28,5,0,0
Kishan Salian,Senior Design Manager,2,1,28,10,0,0
Shaikh Nilofer Rais Ahmed,Mtech Student at Dr.Babasaheb Ambedkar Marathwada University,2,2,28,19,0,0
Nina Sakhnini,Ph.D. Student at the University of Illinois in Chicago,4,1,28,26,0,1
Maxim Spur,Centrale Nantes,3,0,28,25,1,0
Luca Mannella,"Researcher (Ph.D. Candidate) and Teaching Assistant, Politecnico di Torino",4,0,28,28,1,0
Amirreza Samiei,University of Central Florida,1,1,28,22,1,0
Ayane Saito,Keio University,2,2,28,28,1,0
Hyunwoo Kim,KAIST,2,1,28,28,1,0
Héctor López Carral,SPECS-Donders,2,1,28,28,5,0
Shruti Mahajan,Worcester Polytechnic Institute,4,0,28,28,5,0
Neta Tamir,"PhD student, Cornell University",1,1,28,23,0,0
Easa AliAbbasi,"Max Planck Institute for Informatics, Saarland Informatics Campus, Saarland University",2,1,28,20,3,0
Kapil Garg,"PhD Candidate, Northwestern University",4,0,28,28,4,0
Georgios Metaxakis,"Foundation for Research and Technology – Hellas, University of Crete",2,1,28,27,1,0
Yipeng(Penny) Ji,"University of Waterloo, Cheriton School of Computer Science",3,1,28,28,3,0
Yuhan (Antonio) Song,Carnegie Mellon University,1,1,28,27,0,0
Isabela Motta,"PhD student, Pontifical Catholic University of Rio de Janeiro",3,0,28,28,0,0
Luca Calzoni,"Physician and Data Scientist, NIH/NIMHD",3,0,28,27,4,0
Jinhyuk Yoon,LivsMed,2,1,28,28,0,0
Faria Huq,Carnegie Mellon University,2,1,28,27,0,0
zineb britel,"Ecole Mohammadia d'Ingénieurs, Université Mohammed V de Rabat",3,1,28,28,0,0
Reesha Gandhi,New Jersey Institute of Technology,3,1,28,28,3,0
Jingying Wang,"Ph.D. Candidate of CSE, University of Michigan",2,1,28,28,3,0
Nuwan T. Attygalle,University of Primorska,3,1,28,28,5,0
Danielle Renee Jacobs,Arizona State University,2,1,28,28,2,0
Derek Robinson,University of Victoria,3,1,28,28,2,0
Erzhen Hu,University of Virginia,3,1,28,28,3,0
Imke Grabe,PhD student,2,1,28,27,0,0
Joanne Ma,UC Berkeley,1,1,28,28,1,0
Caterina Maidhof,"Marie Skłodowska-Curie PhD Fellow, RWTH Aachen University",3,1,28,28,7,3
Miguel Angel Ortiz Esparza,Profesor Investigador Posdoctoral en el Centro de Investigación en Matemáticas.,3,0,28,22,0,0
Lily W. Ge,Northwestern University,2,1,28,28,1,0
Jefferson Pardomuan,Tokyo Institute of Technology,2,1,28,17,0,0
Yilin Ye,"student, Hong Kong University of Science and Technology",2,1,28,28,0,1
Jisu Yim,KAIST,2,2,28,28,0,0
Semra Gülce Turan,Unknown affiliation,2,1,28,26,0,0
Patrick Nepper,Technische Universität München until 2011,3,1,27,1,0,0
Mutasim Elsadig Adam,Ministry of Health,3,1,27,15,0,0
Joachim Steinmetz,TU Braunschweig,2,1,27,4,0,0
Sara Chizari,University of South Carolina,3,0,27,22,0,0
Jonathan Eisenmann,The Ohio State University,3,1,27,8,0,0
MD MAMUNUR RASHID,"PhD Student, Department of IEMS, University of Central Florida",2,0,27,19,0,0
Sam Simpson,University of York,4,1,27,3,0,0
Doyeon Kim,Unknown affiliation,4,0,27,15,0,0
Mehdi Hojatmadani,"PhD student of Mechanical Engineering, University of South Florida",3,1,27,27,3,0
Amanda Cavalcanti,"PhD Student, University of the Sunshine Coast",3,1,27,5,0,0
Gde Brahupadhya Subiksa,Lecturer Information Technology Politeknik Negeri Bali | Dosen Teknologi Rekayasa Perangkat Lunak,3,0,27,25,0,0
Marcos Arrais,"Adjunct Professor, Pontifical Catholic University of Minas Gerais",4,0,27,12,0,0
Shruti Dhariwal,MIT Media Lab,3,1,27,25,0,0
Anas Bilal,COMSATS University Islamabad,2,1,27,24,1,0
Archie Gupta,Unknown affiliation,2,1,27,10,1,0
Hayeon Kim,"Assistant Professor, Dept. of Software, Dankook University",3,1,27,27,0,0
George Hadjidemetriou,University of Twente,2,2,27,27,2,0
Juho Lee,Yonsei University,2,1,27,27,0,0
behrooz azadi,Pro2Future GmbH,3,0,27,27,0,0
Umm e Mariya Shah,Lecturer,2,1,27,25,0,0
Nayan Mehta,MS Artificial Intelligence Student at Northwestern University,1,1,27,27,0,0
Jing Liao,Zhejiang University,2,1,27,25,2,1
