Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Mohammed BEDJAOUI,"LabRI-SBA Lab., Ecole Superieure en Informatique, Sidi Bel Abbes, Algeria",2,1,27,27,0,0
Daniel Kolb,Leibniz Supercomputing Center,3,0,27,27,0,0
Yijie Guo,Tsinghua University,3,0,27,27,1,0
Rishiraj Adhikary,IIT Gandhinagar,3,0,27,27,1,0
Xianni Wang,Unknown affiliation,3,1,27,26,2,0
Raphael Costa,PhD Graduate of The University of Texas at San Antonio,3,0,27,24,3,0
Fettah Kiran,University of Houston,3,1,27,27,0,1
Stuti Sehgal,"SRM Institute of Science and Technology, Kattankulathur",2,1,27,27,0,0
Avirmed Enkhbat,National Central University,4,0,27,27,0,0
Nimasha Arambepola,University of Kelaniya,3,1,27,27,0,0
Niken Ayu Setifani,Universitas Islam Negeri Sunan Ampel Surabaya,3,2,27,27,0,0
Sadia Nowrin,"Teaching Faculty, University of Wisconsin-Milwaukee",3,0,27,19,0,0
Joel Mendoza,University of Asia and the Pacific,1,1,27,4,1,1
Arata Jingu,Saarland University,4,0,27,27,2,0
Jamal Paden,"Student, Georgia Institute of Technology",1,1,27,27,1,0
Blair Subbaraman,University of Washington,1,1,27,27,2,0
Min Chi Low,"Postgraduate student, Universiti Tunku Abdul Rahman Malaysia",2,1,27,27,0,0
Khanabhorn Kawattikul (คณภร ควรรติกุล),"IT, Faculty of Social Technology, Rajamangala University of Technology Tawan-ok. Thailand.",3,0,27,21,0,0
Turam Purty,University of Washington (2018-Current),2,1,27,27,2,0
Shuhan Liu,"State Key Lab of CAD&CG, Zhejiang University",2,1,27,27,2,0
Nusrath Jahan,University of Central Florida,1,1,27,22,0,0
Eko Harry Pratisto,Universitas Sebelas Maret,1,1,27,17,0,0
Syed Zafar Ali Shah,"Lecturer of Computer Software Engineering, University of Engineering and Technologies, Mardan",3,1,27,18,0,0
Jiacheng Zhang,University of Michigan,2,1,27,27,0,0
Takato Mizuho,The University of Tokyo,4,1,27,27,4,1
Jude Rayan,"University of California, San Diego",1,1,27,27,0,0
K. J. P. G. Perera,"BSc (Hons) & MSc in Computer Science and Engineering, University of Moratuwa",3,1,27,21,0,0
khawla AlHasan,Arab Open University,3,0,27,27,0,0
Abigail Bartolome,"Data Scientist, MS from Dartmouth College",3,0,27,26,2,2
Yoonsu Kim,M.S. Student in KAIST,3,1,27,27,0,0
Zheng Ning,University of Notre Dame,3,1,27,27,2,0
xiaoteng tang,Zhejiang university,3,1,27,27,1,0
suwitchaya rattarom,"lecturer, Department Computer Science and Information Technology, Rambhai Barni Rajabhat University",4,1,27,26,0,0
Sahbi Ben Ismail,"PhD Student at Télécom Bretagne/CNRS Lab-STICC, France",3,1,26,7,0,0
Ashok Mathew Kuruvilla,"Adobe Systems, Inc.",3,1,26,10,0,0
Javier Pereda,Liverpool John Moores University,3,1,26,23,1,0
Kathy Darzanos,University of South Australia,3,1,26,3,0,0
Aejaz Zahid,"Head of Research & Development, Mada-Qatar Assistive Technology Center",3,1,26,21,0,0
